albumentations-team+albumentations,0.5.1,760,buglocator,1,4,0.25,0.25
albumentations-team+albumentations,0.5.1,760,bluir,1,1,1.0,1.0
albumentations-team+albumentations,v0.1.1,180,buglocator,1,5,0.2,0.2
albumentations-team+albumentations,v0.1.1,180,bluir,1,2,0.5,0.5
albumentations-team+albumentations,v0.1.1,186,buglocator,3,1,1.0,0.4935897435897436
albumentations-team+albumentations,v0.1.1,186,bluir,3,1,1.0,0.4909090909090909
albumentations-team+albumentations,v0.1.1,207,buglocator,2,1,1.0,1.0
albumentations-team+albumentations,v0.1.1,207,bluir,2,18,0.05555555555555555,0.06623931623931624
albumentations-team+albumentations,v0.1.1,213,buglocator,2,2,0.5,0.375
albumentations-team+albumentations,v0.1.1,213,bluir,2,1,1.0,1.0
albumentations-team+albumentations,v0.1.1,215,buglocator,1,5,0.2,0.2
albumentations-team+albumentations,v0.1.1,215,bluir,1,8,0.125,0.125
allegroai+clearml,0.17.2,273,buglocator,1,1,1.0,1.0
allegroai+clearml,0.17.2,273,bluir,1,3,0.3333333333333333,0.3333333333333333
allenai+allennlp,v0.2.0,292,buglocator,2,1,1.0,0.7
allenai+allennlp,v0.2.0,292,bluir,2,1,1.0,0.7
allenai+allennlp,v0.2.2,572,buglocator,6,2,0.5,0.4886846405228758
allenai+allennlp,v0.2.2,572,bluir,6,87,0.011494252873563218,0.025543702070712923
allenai+allennlp,v1.0.0,4378,buglocator,3,6,0.16666666666666666,0.14245014245014243
allenai+allennlp,v1.0.0,4378,bluir,3,3,0.3333333333333333,0.1405982905982906
allenai+allennlp,v1.0.0,4427,buglocator,1,2,0.5,0.5
allenai+allennlp,v1.0.0,4427,bluir,1,2,0.5,0.5
allenai+allennlp,v1.0.0,4428,buglocator,1,6,0.16666666666666666,0.16666666666666666
allenai+allennlp,v1.0.0,4428,bluir,1,24,0.041666666666666664,0.041666666666666664
allenai+allennlp,v1.0.0rc4,4255,buglocator,1,2,0.5,0.5
allenai+allennlp,v1.0.0rc4,4255,bluir,1,16,0.0625,0.0625
allenai+allennlp,v1.0.0rc4,4281,buglocator,2,28,0.03571428571428571,0.025857142857142856
allenai+allennlp,v1.0.0rc4,4281,bluir,2,47,0.02127659574468085,0.01713180436584692
allenai+allennlp,v1.0.0rc5,4318,buglocator,4,1,1.0,0.5359582542694497
