Project,Bug_ID,MRR,MAP
matplotlib+matplotlib,24199,0.38057211,0.217777543
matplotlib+matplotlib,25124,0.016281898,0.010463894
matplotlib+matplotlib,25199,0.656432877,0.656432877
matplotlib+matplotlib,25485,0.245025865,0.245025865
miguelgrinberg+flask-socketio,1054,0.742857143,0.742857143
miguelgrinberg+flask-socketio,1147,0.742857143,0.742857143
miguelgrinberg+flask-socketio,1155,0.742857143,0.742857143
miguelgrinberg+flask-socketio,1324,0.795304695,0.795304695
miguelgrinberg+flask-socketio,1555,0.956043956,0.818466718
miguelgrinberg+flask-socketio,1771,0.942307692,0.942307692
miguelgrinberg+flask-socketio,1856,0.75,0.525793651
miguelgrinberg+flask-socketio,1909,0.990384615,0.990384615
mitmproxy+mitmproxy,1111,0.716646989,0.455420046
mitmproxy+mitmproxy,1118,0.097633788,0.12871108
mitmproxy+mitmproxy,1910,0.934755183,0.934755183
mitmproxy+mitmproxy,2036,0.373105842,0.306812382
mitmproxy+mitmproxy,2113,0.079859159,0.042140729
mitmproxy+mitmproxy,2266,0.442390942,0.152125111
mitmproxy+mitmproxy,2315,0.244498232,0.20234868
mitmproxy+mitmproxy,2324,0.533839465,0.280187125
mitmproxy+mitmproxy,2407,0.119506626,0.086764758
mitmproxy+mitmproxy,2724,0.138105734,0.070697774
mitmproxy+mitmproxy,2869,0.006264017,0.006264017
mitmproxy+mitmproxy,3080,0.38447267,0.38447267
mitmproxy+mitmproxy,3765,0.676634686,0.676634686
mitmproxy+mitmproxy,5077,0.71665153,0.71665153
mitmproxy+mitmproxy,5089,0.003858373,0.003858373
mitmproxy+mitmproxy,5109,0.751177394,0.364895106
mitmproxy+mitmproxy,5159,0.098381503,0.098381503
mitmproxy+mitmproxy,5316,0.123663787,0.129946654
mitmproxy+mitmproxy,5337,0.013844777,0.017966134
mitmproxy+mitmproxy,5343,0.135922259,0.135922259
mitmproxy+mitmproxy,5372,0.206514914,0.206823647
mitmproxy+mitmproxy,5405,0.234490334,0.234490334
mitmproxy+mitmproxy,5474,0.61807464,0.61807464
mitmproxy+mitmproxy,5699,0.745018981,0.745018981
mitmproxy+mitmproxy,5715,0.348989838,0.348989838
mitmproxy+mitmproxy,5926,0.942307692,0.428418882
mitmproxy+mitmproxy,6029,0.667668563,0.667668563
pallets+flask,382,0.718614719,0.718614719
pallets+flask,618,0.718199609,0.718199609
pallets+flask,1129,0.733333333,0.733333333
pallets+flask,1911,0.372010343,0.372010343
pallets+flask,2087,0.936703297,0.835215554
pallets+flask,2118,0.746031746,0.735989634
pallets+flask,2267,0.741591742,0.741591742
pallets+flask,2357,0.72993673,0.72993673
pallets+flask,2372,0.678000571,0.678000571
pallets+flask,2411,0.724961648,0.468985926
pallets+flask,3214,0.743589744,0.55578106
pallets+flask,3224,0.317116217,0.31607922
pallets+flask,3776,0.426175704,0.426175704
pallets+jinja,668,0.324679487,0.270885453
pallets+jinja,669,0.49742341,0.534003618
pallets+jinja,675,0.572615556,0.49286652
pandas-dev+pandas,52197,0.717902351,0.5974623
paramiko+paramiko,854,0.637512488,0.637512488
paramiko+paramiko,915,0.761904762,0.480228502
psf+requests,1051,0.752580753,0.527291117
psf+requests,1183,0.93514682,0.93514682
psf+requests,1655,0.489010989,0.395608334
psf+requests,1767,0.667203573,0.667203573
psf+requests,1920,0.718550107,0.601231295
psf+requests,2071,0.791208791,0.791208791
psf+requests,2345,0.16760713,0.16760713
psf+requests,2483,0.036169003,0.036169003
psf+requests,3659,0.735056153,0.608695511
psf+requests,5048,0.37755102,0.437452759
psf+requests,5888,0.348817849,0.446035044
psf+requests,6104,0.746031746,0.740740741
